Scope,MethodId,n_OK,n_TIMEOUT,n_ERROR,median_time_sec,p95_time_sec
ALL,0,0,32,0,,
ALL,1,5,27,0,9.411,25.371399999999998
ALL,2,18,14,0,2.0484999999999998,54.71324999999997
ALL,3,22,10,0,1.895,20.945449999999994
ALL,4,24,8,0,0.007069499999999999,102.82917034999987
ALL,5,29,3,0,0.113222,3.367912999999999
Geant2004,0,0,4,0,,
Geant2004,1,0,4,0,,
Geant2004,2,2,2,0,62.1525,71.71724999999999
Geant2004,3,4,0,0,0.0495,0.9771999999999996
Geant2004,4,4,0,0,0.0006715,0.0013366499999999998
Geant2004,5,4,0,0,0.0019785,0.007790599999999997
Geant2009,0,0,4,0,,
Geant2009,1,0,4,0,,
Geant2009,2,0,4,0,,
Geant2009,3,0,4,0,,
Geant2009,4,4,0,0,0.0006545,0.01746969999999999
Geant2009,5,4,0,0,0.057903,0.18845464999999995
IEEE-118,0,0,4,0,,
IEEE-118,1,0,4,0,,
IEEE-118,2,0,4,0,,
IEEE-118,3,2,2,0,65.2935,104.75444999999999
IEEE-118,4,4,0,0,0.0006095,0.041200899999999985
IEEE-118,5,4,0,0,0.0288315,1.775963699999999
UPS-Russia,0,0,4,0,,
UPS-Russia,1,0,4,0,,
UPS-Russia,2,0,4,0,,
UPS-Russia,3,0,4,0,,
UPS-Russia,4,3,1,0,0.673291,50.108491
UPS-Russia,5,1,3,0,0.001003,0.001003
sausage,0,0,16,0,,
sausage,1,5,11,0,9.411,25.371399999999998
sausage,2,16,0,0,1.7615,8.02825
sausage,3,16,0,0,2.1854999999999998,9.306
sausage,4,9,7,0,0.369949,117.9146816
sausage,5,16,0,0,1.1885285,4.95609675
