Scope,MethodId,n_OK,n_TIMEOUT,n_ERROR,median_time_sec,p95_time_sec
ALL,0,4,40,0,41.0056565,48.2060521
ALL,1,24,20,0,9.57025,221.37747499999986
ALL,2,32,12,0,1.24475,61.84664999999998
ALL,3,35,7,2,0.877,36.16439999999981
ALL,4,33,11,0,0.012996,323.3276716
ALL,5,41,3,0,0.029031,7.151918
Geant2004,0,0,4,0,,
Geant2004,1,3,1,0,163.685,259.0679
Geant2004,2,4,0,0,62.9295,110.10994999999998
Geant2004,3,4,0,0,0.0235,0.2792499999999999
Geant2004,4,4,0,0,0.000325,0.0018096999999999996
Geant2004,5,4,0,0,0.0026055,0.00304795
Geant2009,0,0,4,0,,
Geant2009,1,0,4,0,,
Geant2009,2,0,4,0,,
Geant2009,3,0,4,0,,
Geant2009,4,4,0,0,0.0011389999999999998,0.0043059
Geant2009,5,4,0,0,0.014414,0.07292409999999999
IEEE-118,0,0,4,0,,
IEEE-118,1,0,4,0,,
IEEE-118,2,0,4,0,,
IEEE-118,3,3,1,0,82.454,1601.2372999999998
IEEE-118,4,4,0,0,0.001327,0.018711549999999993
IEEE-118,5,4,0,0,0.009915,1.3050010999999995
UPS-Russia,0,0,4,0,,
UPS-Russia,1,0,4,0,,
UPS-Russia,2,0,4,0,,
UPS-Russia,3,0,2,2,,
UPS-Russia,4,3,1,0,0.626181,30.3083043
UPS-Russia,5,1,3,0,0.000972,0.000972
sausage,0,4,24,0,41.0056565,48.2060521
sausage,1,21,7,0,8.34,121.8255
sausage,2,28,0,0,0.64,9.847825
sausage,3,28,0,0,0.8975,13.488324999999993
sausage,4,18,10,0,0.4652465,439.29798264999897
sausage,5,28,0,0,0.1682075,8.554595249999997
