Scope,MethodId,n_OK,n_TIMEOUT,n_ERROR,median_time_sec,p95_time_sec
ALL,0,3,32,0,0.00023,0.0002309
ALL,1,7,28,0,3.563,15.545099999999996
ALL,2,21,14,0,1.612,33.209
ALL,3,25,10,0,1.846,19.349399999999957
ALL,4,27,8,0,0.001577,107.83357279999996
ALL,5,32,3,0,0.0234375,3.8828720499999987
Geant2004,0,0,4,0,,
Geant2004,1,0,4,0,,
Geant2004,2,2,2,0,62.5185,88.89705
Geant2004,3,4,0,0,0.0415,0.6231499999999998
Geant2004,4,4,0,0,0.000593,0.0014888
Geant2004,5,4,0,0,0.0026215,0.005223499999999999
Geant2009,0,0,4,0,,
Geant2009,1,0,4,0,,
Geant2009,2,0,4,0,,
Geant2009,3,0,4,0,,
Geant2009,4,4,0,0,0.000931,0.011420299999999996
Geant2009,5,4,0,0,0.042046,0.11200524999999999
IEEE-118,0,0,4,0,,
IEEE-118,1,0,4,0,,
IEEE-118,2,0,4,0,,
IEEE-118,3,2,2,0,142.819,251.25099999999998
IEEE-118,4,4,0,0,0.000637,0.02113824999999999
IEEE-118,5,4,0,0,0.015615,2.137541899999999
K4,0,3,0,0,0.00023,0.0002309
K4,1,3,0,0,0.000236,0.0004214
K4,2,3,0,0,0.000228,0.000228
K4,3,3,0,0,0.000263,0.0009154999999999999
K4,4,3,0,0,3.8e-05,9.739999999999998e-05
K4,5,3,0,0,3.5e-05,9.889999999999999e-05
UPS-Russia,0,0,4,0,,
UPS-Russia,1,0,4,0,,
UPS-Russia,2,0,4,0,,
UPS-Russia,3,0,4,0,,
UPS-Russia,4,3,1,0,1.063639,65.1565837
UPS-Russia,5,1,3,0,0.000935,0.000935
sausage,0,0,16,0,,
sausage,1,4,12,0,9.599,16.246049999999997
sausage,2,16,0,0,1.9140000000000001,6.6755
sausage,3,16,0,0,2.3555,6.3740000000000006
sausage,4,9,7,0,0.369543,126.08035279999999
sausage,5,16,0,0,1.3217059999999998,5.863926000000001
